contamination,n_estimators,max_samples,max_features,recall
0.15000000000000002,120,0.8,0.8,0.8423299786520281
0.15000000000000002,120,0.6,0.6,0.8411100945410186
0.15000000000000002,80,1.0,0.6,0.8411100945410186
0.15000000000000002,90,0.8,0.8,0.8408051235132662
0.15000000000000002,80,0.8,0.8,0.8405001524855139
0.3,90,1.0,1.0,0.8401951814577615
0.15000000000000002,110,0.8,0.8,0.8392802683745044
0.2,110,0.8,1.0,0.8386703263189997
0.3,100,1.0,1.0,0.8380603842634949
0.15000000000000002,80,0.6,0.6,0.8377554132357427
0.15000000000000002,110,0.6,0.6,0.8368405001524856
0.2,100,0.8,1.0,0.8365355291247332
0.15000000000000002,90,0.6,0.6,0.8362305580969808
0.2,120,0.8,1.0,0.8359255870692284
0.15000000000000002,90,0.8,0.6,0.8359255870692284
0.15000000000000002,100,0.6,0.6,0.834705702958219
0.15000000000000002,80,0.8,0.6,0.8344007319304666
0.3,120,1.0,1.0,0.8334858188472095
0.3,110,1.0,1.0,0.8334858188472095
0.15000000000000002,110,0.8,0.6,0.8334858188472095
0.15000000000000002,90,1.0,0.6,0.8331808478194571
0.3,80,1.0,1.0,0.8331808478194571
0.15000000000000002,120,0.8,0.6,0.8328758767917048
0.15000000000000002,110,1.0,0.6,0.8322659347362
0.15000000000000002,120,1.0,0.8,0.831351021652943
0.15000000000000002,100,1.0,0.6,0.8310460506251907
0.2,80,0.6,1.0,0.8286062824031717
0.15000000000000002,100,0.8,0.6,0.8273863982921622
0.15000000000000002,110,1.0,0.8,0.8273863982921622
0.15000000000000002,120,1.0,0.6,0.8270814272644099
0.15000000000000002,120,0.6,0.8,0.8261665141811528
0.2,120,0.6,1.0,0.825556572125648
0.15000000000000002,100,0.6,0.8,0.825556572125648
0.15000000000000002,90,0.6,0.8,0.8249466300701433
0.2,100,0.6,1.0,0.8249466300701433
0.2,80,0.8,1.0,0.824641659042391
0.2,110,0.6,1.0,0.8243366880146387
0.15000000000000002,110,0.6,0.8,0.8222018908203721
0.2,90,0.8,1.0,0.8215919487648673
0.15000000000000002,80,0.6,0.8,0.821286977737115
0.15000000000000002,100,1.0,0.8,0.8206770356816102
0.25,90,1.0,1.0,0.817932296431839
0.25,100,1.0,1.0,0.8176273254040866
0.25,120,1.0,1.0,0.8124428179322964
0.15000000000000002,80,1.0,0.8,0.8124428179322964
0.25,80,1.0,1.0,0.812137846904544
0.25,110,1.0,1.0,0.8115279048490394
0.15000000000000002,90,1.0,0.8,0.8109179627935346
0.2,90,0.6,1.0,0.8087831655992681
0.15000000000000002,120,0.8,1.0,0.8023787740164684
0.15000000000000002,110,0.8,1.0,0.8020738029887161
0.15000000000000002,100,0.8,1.0,0.7999390057944495
0.1,100,0.8,0.8,0.7996340347666971
0.1,110,0.8,0.8,0.7953644403781641
0.1,120,0.8,0.8,0.7953644403781641
0.1,80,0.8,0.8,0.7953644403781641
0.1,110,0.6,0.6,0.7941445562671546
0.1,120,0.6,0.6,0.7932296431838975
0.1,90,0.8,0.8,0.7932296431838975
0.1,80,0.6,0.6,0.7880451357121073
0.2,100,1.0,1.0,0.7862153095455932
0.2,90,1.0,1.0,0.7853003964623361
0.2,120,1.0,1.0,0.7846904544068314
0.15000000000000002,110,0.6,1.0,0.784385483379079
0.15000000000000002,120,0.6,1.0,0.7828606282403172
0.1,90,0.6,0.6,0.7816407441293077
0.2,110,1.0,1.0,0.7816407441293077
0.1,100,0.6,0.6,0.7813357731015553
0.2,80,1.0,1.0,0.7807258310460506
0.15000000000000002,80,0.8,1.0,0.7785910338517841
0.15000000000000002,100,0.6,1.0,0.7779810917962794
0.15000000000000002,90,0.8,1.0,0.7737114974077463
0.1,90,0.8,0.6,0.7734065263799939
0.15000000000000002,80,0.6,1.0,0.7731015553522416
0.1,80,1.0,0.6,0.7721866422689845
0.1,120,0.8,0.6,0.7700518450747179
0.1,80,0.8,0.6,0.7679170478804513
0.1,110,0.8,0.6,0.7676120768526989
0.1,120,1.0,0.8,0.7666971637694419
0.1,120,0.6,0.8,0.7636474534919183
0.1,120,1.0,0.6,0.7602927721866423
0.1,110,0.6,0.8,0.7599878011588899
0.1,100,0.8,0.6,0.7590728880756328
0.1,100,0.6,0.8,0.7584629460201281
0.1,110,1.0,0.8,0.7581579749923757
0.1,110,1.0,0.6,0.757548032936871
0.1,90,1.0,0.6,0.7569380908813663
0.15000000000000002,90,0.6,1.0,0.7557182067703568
0.1,90,0.6,0.8,0.7554132357426044
0.1,100,1.0,0.6,0.7535834095760903
0.15000000000000002,100,1.0,1.0,0.7517535834095761
0.1,100,1.0,0.8,0.7490088441598048
0.1,80,0.6,0.8,0.7483989021043
0.15000000000000002,120,1.0,1.0,0.7471790179932907
0.15000000000000002,110,1.0,1.0,0.7456541628545288
0.1,80,1.0,0.8,0.7456541628545288
0.15000000000000002,90,1.0,1.0,0.7447392497712717
0.15000000000000002,80,1.0,1.0,0.7404696553827387
0.1,90,1.0,0.8,0.7365050320219579
0.1,110,0.8,1.0,0.7310155535224153
0.1,100,0.8,1.0,0.7179017993290637
0.1,120,0.8,1.0,0.7111924367185117
0.1,110,0.6,1.0,0.707227813357731
0.1,120,0.6,1.0,0.702958218969198
0.1,100,0.6,1.0,0.6999085086916743
0.1,80,0.8,1.0,0.693809088136627
0.1,80,0.6,1.0,0.6867947544983226
0.1,90,0.8,1.0,0.6852698993595608
0.1,100,1.0,1.0,0.67612076852699
0.1,90,0.6,1.0,0.6755108264714852
0.1,120,1.0,1.0,0.6715462031107045
0.1,90,1.0,1.0,0.6691064348886856
0.1,110,1.0,1.0,0.6688014638609332
0.1,80,1.0,1.0,0.6627020433058859
0.05,120,0.6,0.6,0.6334248246416591
0.05,110,0.6,0.6,0.6328148825861544
0.05,80,0.6,0.6,0.632509911558402
0.05,90,0.6,0.6,0.6245806648368405
